"Rainfall threshold for flash flood early warning based on rational equation: a case study of zuojiao watershed in yunnan province","10.1088/1755-1315/100/1/012215"
"Evaluation on flow discharge of grassed swale in lowland area","10.1051/MATECCONF/201710304017"
"The first joint hydro-meteo warnings in croatia during heavy rainfall period in october 2015","10.1007/978-3-319-35095-0\_32"
"Ways for protection against various attacks in the internet",NA
"Water level prediction using artificial neural network with particle swarm optimization model",NA
"Modelling of flood prediction system using hybrid nnarx and extended kalman filter",NA
"The rapid development of settlements in flood-prone areas in peri-urban ulaanbaatar, mongolia: monitoring and spatial analysis using vhr satellite imageries","10.1007/978-4-431-56442-3\_8"
"Investigation methods of mountain torrent disaster in wulian county of shandong province",NA
"Sedimentary and geomorphic signatures of a cloud burst and triggered flash floods in the indus valley of ladakh himalaya",NA
"Could we beat a new mimicking attack?",NA
"A behavior-based method for distinction of flooding ddos and flash crowds","10.1007/978-3-319-63558-3\_11"
"Detecting flooding ddos under flash crowds based on mondrian forest","10.1007/978-3-319-60033-8\_62"
"Utilization of gps tropospheric delays for climate research","10.1088/1742-6596/846/1/012001"
"The design of flood protection in koberice municipality","10.1088/1755-1315/92/1/012062"
"Cartography of 150 years of hydrogeomorphological catastrophic occurrences, portugal mainland a territory of concern",NA
"Heavy rains and flash floods at rocky coast. The costiera amalfitana (southern italy)","10.1007/978-3-319-53485-5\_38"
"Integrated hydrographical basin management. Study case - crasna river basin","10.1088/1757-899X/245/3/032038"
"The geographical setting for integrated water resource management in the guanting basin",NA
"Penetration jet impingement calculation in engineering application",NA
"Torrential erosion: himalayas","10.1081/E-ESS3-120053783"
"Root wood anatomy of a black pine tree: landslide traces","10.17475/KASTORMAN.295309"
"Hydraulic flood routing in an ephemeral channel: wadi mekerra, algeria","10.1007/S40808-016-0237-0"
"Improving drowned drainage outlets with submerged orifices","10.2166/WPT.2016.091"
"Flash floods and desert claims",NA
"Infiltration losses calculated for the flash flood in the upper catchment of geru river, galati county, romania","10.1515/PESD-2016-0039"
"Mesoscale and synoptic environment in three orographically enhanced rain events on the coast of santa catarina (brazil)","10.1175/WAF-D-15-0003.1"
"Building climate resilient agriculture through traditional floating rice in flash flood affected areas of the north bank plains zone of assam",NA
"An estimation of regional geologic structures from the geomorphology to characterize the wadi systems, southeast sinai, egypt","10.1190/INT-2015-0125.1"
"Preliminary analysis of the afforestation role in the maximum runoff in valea rece catchment","10.1515/PESD-2017-0016"
"Analysis of flash floods in germany",NA
"Flash floods: the role of science, forecasting, and communications in reducing loss of life and economic disruptions an information statement of the american meteorological society adopted by the ams council on april 17, 2017",NA
"Sediment dynamics of an allogenic river channel in a very arid environment","10.1002/HYP.11171"
"Visualization of urban floodplains in the amazon foothill using the geo-inspired model of natural vector multiagents (avng)",NA
"Operational quality control and enhancement of radar data to support regional flash flood warning systems","10.1061/(ASCE)HE.1943-5584.0001345"
"A comparison of ensemble strategies for flash flood forecasting: the 12 october 2007 case study in valencia, spain","10.1175/JHM-D-16-0281.1"
"The analysis of time distribution of rainfall in heavy storms","10.1590/S1413-41522016146750"
"Geotechnical measures for uttarakhand flash flood-2013, india",NA
"Enclave ecology: hardening the land-sea edge to provide freshwater in singapore's hydrohub",NA
"New method of curve number derivation with inferential statistics",NA
"Insight into variability of spring and flash flood events in lithuania","10.1007/S11600-017-0009-X"
"Landscapes of the medieval commons in villanueva, asturias, spain","10.5334/PIA-518"
"Blocked drains syndrome: physical degradation of the storm drainage system in a compact city","10.1166/ASL.2017.8388"
"Stormwater as a criterion for green highway",NA
"Study the impact of rainfalls on the united arab emirates dams using remote sensing and image processing techniques","10.1117/12.2278509"
"A reactive early warning model for urban flash flood management",NA
"Soft computing and data mining techniques for thunderstorms and lightning prediction: a survey",NA
"Urban flood warning system social benefits",NA
"Analyzing social media texts and images to assess the impact of flash floods in cities",NA
"Preliminary study of the flooding characteristics on proluvial fan under different peak discharges","10.1088/1755-1315/69/1/012022"
"Flash flood hazard assessment in an ungauged piedmont basin in the sierras pampeanas western region, province of cordoba, argentina","10.1007/978-3-319-54371-0\_7"
"Constrained lms for dynamic flow networks",NA
"Flood prediction at the northern region of uae","10.1051/MATECCONF/201710304004"
"Towards the experimental assessment of the dqe in spect scanners","10.1088/1742-6596/931/1/012021"
"Entropy-score: a method to detect ddos attack and flash crowd",NA
"Children and families",NA
"Analysis of total precipitable water and cloud liquid water from mwhts and acmr observations",NA
"Applied prospect of modern information technology in relation to mountain flood disaster monitoring and early warning system","10.1080/02522667.2017.1367498"
"Flashflood simbach 2016: documentation and analysis",NA
"Identifying flood-prone risk areas, using gis. Case study: ozana drainage basin, romania","10.18509/GBP.2018.58"
"Using big data in early warning system of flash floods in mauritius",NA
"An adaptive model for detection and prevention of ddos and flash crowd flooding attacks",NA
"Identification of flash floods using soil flux and co2: an implementation of neural network with less false alarm rate","10.30880/IJIE.2018.10.07.014"
"Morphometric, geomorphologic and flood hazard analysis of an arid mountain river basin, central pre-andes of argentina. Southwestern south america","10.4461/GFDQ.2018.41.6"
"Flash flood disasters analysis and evaluation: a case study of yiyang county in china","10.1088/1755-1315/128/1/012035"
"Intelligent high-performance dynamic control for two-stage screw high-temperature heat pump system","10.18494/SAM.2018.2070"
"Evaluation of sub daily satellite rainfall estimates through flash flood modelling in the lower middle zambezi basin","10.5194/PIAHS-378-59-2018"
"Uttarakhand calamity: a climate revelation in the bhagirathi river valley uttarakhand, india","10.1007/978-981-10-3310-0\_10"
"Low-impact development: minimising stormwater runoff in a case study of section 13, shah alam, malaysia","10.2495/WRM170201"
"Catastrophes and deaths along tanzania's western indian ocean coast during the early swahili period, ad 900-1100","10.1080/0067270X.2018.1473208"
"Csdsm: cognitive switch-based ddos sensing and mitigation in sdn-driven cdni word","10.2298/CSIS170328044M"
"Potential impact of climate change on rainfall extremes for urban drainage management",NA
"Ecological stability at the time of the stable cadastre and today",NA
"Dinosaur behaviour in an early jurassic palaeoecosystem - uppermost elliot formation, ha nohana, lesotho","10.14241/ASGP.2018.010"
"Land cover change, surface mining, and their impacts on a heavy rain event in the appalachia","10.1080/24694452.2018.1460249"
"Broadcast storm problem-a hidden consequence of content distribution in content delivery networks","10.1007/978-981-10-4585-1\_13"
"Social auto-scaling","10.1109/PDP2018.2018.00033"
"Stochastic generation of hourly rainfall series in the western region of peninsular malaysia","10.21833/IJAAS.2018.01.013"
"Evaluation of landslide hazard levels post 2014 flood disaster in manado city",NA
"Modified flash flood potential index in order to estimate areas with predisposition to water accumulation","10.1515/GEO-2018-0047"
"Modeling of flash floods in wadi systems using a robust shallow water model-case study el gouna, egypt","10.1007/978-981-10-7218-5\_41"
"Spatiotemporal characteristics of hourly rainfall in the upper reaches of hanjiang river basin",NA
